Account: ID;Rate Plan Charge: ID;Invoice Item: Charge Amount;Invoice Item: Processing Type;Invoice Item: Service Start Date;Invoice Item: Service End Date;Invoice Item: Charge Date;Invoice Item: ID;Subscription: SubscriptionId;Invoice Item: AppliedToInvoiceItemId;Invoice Item: Quantity;Invoice Item: UOM;Invoice Item: ChargeType;SubscriptionNumber;Rate Plan Charge: Charge Number
2c92c0f9626c87e001626e7566ef619c;2c92c0f865d272ef0165ec7cdb420f50;2250;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;a2a7a7a3bb624b7bb90dc9f8ea8fa5c6;2c92c0f865d272ef0165ec7cdb170f4a;;1;;Recurring;A-S00017390;C-00055850
2c92c0f9626c87e001626e7566ef619c;2c92c0f865d273010165e9966c3c2233;2250;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;4b6daca872194af7a4896f33ea05c48d;2c92c0f865d273010165e9966c0e222d;;1;;Recurring;A-S00017388;C-00055848
2c92c0f9626c87e001626e7566ef619c;2c92c0f865d273010165ec92b41712c7;2250;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;7e7dac97050644f0a21ca497abbd8f98;2c92c0f865d273010165ec92b3eb12c1;;1;;Recurring;A-S00017393;C-00055853
2c92c0f9626c87e001626e7566ef619c;2c92c0f865dc12e60165f126d04e639f;2500;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;1a13726f54484163adbb985a5b098393;2c92c0f865dc12e60165f126d09b63a3;;1;;Recurring;A-S00017399;C-00055858
2c92c0f9626c87e001626e7566ef619c;2c92c0f865dc12e60165f19aa490759a;500;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;ee55dfe64ad54cafa45dc1208200f155;2c92c0f865dc12e60165f19aa4627594;;1;;Recurring;A-S00017401;C-00055861
2c92c0f9626c87e001626e7566ef619c;2c92c0f865f2044301660b17510902e7;2500;Charge;01/03/2019;31/03/2019;11/11/2018 01:01;ceacc2786f5b45e9b0e853251ab2492f;2c92c0f865f2044301660b1750da02e1;;1;;Recurring;A-S00017438;C-00055920
2c92c0f9626c87e001626e7566ef619c;2c92c0f865f2044301660b17510902e7;2500;Charge;01/04/2019;30/04/2019;11/11/2018 01:01;a46779e467dd4b808a7d914ce52d1992;2c92c0f865f2044301660b1750da02e1;;1;;Recurring;A-S00017438;C-00055920
2c92c0f9626c87e001626e7566ef619c;2c92c0f865f2044301660b17510902e7;2500;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;bcadca5c810d41dca67940d5b2100168;2c92c0f865f2044301660b1750da02e1;;1;;Recurring;A-S00017438;C-00055920
2c92c0f9626c87e001626e7566ef619c;2c92c0f865f204440165f2e04d0854a6;100;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;3ab06ed8c79b495e99742b443ab92ca9;2c92c0f865f204440165f2e04cef54a1;;1;;Recurring;A-S00017406;C-00055867
2c92c0f9626c87e001626e7566ef619c;2c92c0f8660fb5d8016615c1e75203d7;2500;Charge;01/03/2019;31/03/2019;11/11/2018 01:01;5666741de17d4735a6ad91e720260596;2c92c0f8660fb5d8016615c1e72903d1;;1;;Recurring;A-S00017452;C-00055948
